ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_IGCC_CCS,Africa,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,Brazil,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
